Country Code,Official language,Regional language,Minority language,National language,Widely spoken
Abkhazia,Abkhaz,,Georgian,Abkhaz,
Abkhazia,Russian,,,,
Afghanistan,Persian,Uzbek,,Persian,Persian
Afghanistan,Pashto,Turkmen,,Pashto,
Afghanistan,,Pashayi,,,
Afghanistan,,Nuristani,,,
Afghanistan,,Balochi,,,
Afghanistan,,Pamiri,,,
Albania,Albanian,,Greek,,Italian
Albania,,,Macedonian,,
Albania,,,Aromanian,,
Algeria,Arabic,,,Arabic,French
Algeria,Berber,,,Berber,
Andorra,Catalan,,Spanish,,
Andorra,,,French,,
Andorra,,,Portuguese,,
Angola,Portuguese,,,Kimbundu,Angolan Portuguese
Angola,,,,Umbundu,
Angola,,,,Kikongo,
Angola,,,,Chokwe,
Angola,,,,Kwanyama,
Angola,,,,Ganguela,
Antigua and Barbuda,English,,,,Antiguan
Antigua and Barbuda,,,,,Barbudan Creole
Argentina,Spanish,Spanish,,,Argentine Spanish
Argentina,,Guaraní,,,English
Argentina,,Kom,,,Italian
Argentina,,Moquoit,,,German
Argentina,,Wichi,,,French
Armenia,Armenian,,,Armenian,Russian
Australia,English,English,,,
Austria,German,Burgenland Croatian,Slovene,German,English
Austria,,Hungarian,Czech,,
Austria,,Slovene,Hungarian,,
Austria,,,Slovak,,
Austria,,,Romani,,
Austria,,,Serbian,,
Azerbaijan,Azerbaijani,,,Azerbaijani,Russian
The Bahamas,English,,,,
Bahrain,Arabic,,English,,
Bangladesh,Bengali,Sylheti,Chakma,Bengali,
Bangladesh,,Chittagonian,Marma,,
Bangladesh,,Rangpuri,Rakhine,,
Bangladesh,,,Hajong,,
Bangladesh,,,Santali,,
Bangladesh,,,Tripuri,,
Bangladesh,,,Manipuri,,
Barbados,English,,,,
Belarus,Belarusian,,,Belarusian,
Belarus,Russian,,,,
Belgium,Dutch,Dutch,,,English
Belgium,French,French,,,
Belgium,German,German,,,
Belize,English,,Garifuna,,Kriol
Belize,,,,,Spanish
Benin,French,,,,
Bhutan,Dzongkha,,,,
Bolivia,Castilian,,,,
Bolivia,Aymara,,,,
Bolivia,Araona,,,,
Bolivia,Baure,,,,
Bolivia,Bésiro,,,,
Bolivia,Canichana,,,,
Bolivia,Cavineña,,,,
Bolivia,Cayubaba,,,,
Bolivia,Chácobo,,,,
Bolivia,Chimán,,,,
Bolivia,Ese Ejja,,,,
Bolivia,Guaraní,,,,
Bolivia,Guarasu'we,,,,
Bolivia,Guarayu,,,,
Bolivia,Itonama,,,,
Bolivia,Leco,,,,
Bolivia,Machajuyai-Kallawaya,,,,
Bolivia,Machineri,,,,
Bolivia,Maropa,,,,
Bolivia,Mojeño-Ignaciano,,,,
Bolivia,Mojeño-Trinitario,,,,
Bolivia,Moré,,,,
Bolivia,Mosetén,,,,
Bolivia,Movima,,,,
Bolivia,Pacawara,,,,
Bolivia,Puquina,,,,
Bolivia,Quechua,,,,
Bolivia,Sirionó,,,,
Bolivia,Tacana,,,,
Bolivia,Tapieté,,,,
Bolivia,Toromona,,,,
Bolivia,Uru-Chipaya,,,,
Bolivia,Weenhayek,,,,
Bolivia,Yaminawa,,,,
Bolivia,Yuki,,,,
Bolivia,Yuracaré,,,,
Bolivia,Zamuco,,,,
Bosnia and Herzegovina,Bosnian,,,,
Bosnia and Herzegovina,Serbian,,,,
Bosnia and Herzegovina,Croatian,,,,
Bosnia and Herzegovina,Bosnian,,,,
Bosnia and Herzegovina,Serbian,,,,
Bosnia and Herzegovina,Croatian,,,,
Botswana,English,,,Tswana,Bantu
Botswana,,,,,Khoisan
Brazil,Portuguese,German,,Portuguese,Spanish
Brazil,,East Pomeranian,,,English
Brazil,,Riograndenser Hunsrückisch,,,French
Brazil,,Talian,,,
Brazil,,Nheengatu,,,
Brazil,,Baniwa,,,
Brazil,,Tucano,,,
Brazil,,Guaraní,,,
Brunei,Malay,,,,English
Brunei,,,,,Chinese
Bulgaria,Bulgarian,,,,
Burkina Faso,French,,,Fula,
Burkina Faso,,,,Jula,
Burkina Faso,,,,More,
Burundi,French,,,Kirundi,Swahili
Burundi,Kirundi,,,,
Burundi,English,,,,
Cambodia,Khmer,,,,French
Cambodia,,,,,English
Cambodia,,,,,Chinese
Cameroon,English,,,,
Cameroon,French,,,,
Canada,English,Chipewyan,Chipewyan,,
Canada,French,Cree,Cree,,
Canada,,Gwich'in,Gwich'in,,
Canada,,Inuinnaqtun,Inuinnaqtun,,
Canada,,Inuktitut,Inuktitut,,
Canada,,Inuvialuktun,Inuvialuktun,,
