Language,Native speakers
Arabic,129000000
Bengali,237000000
Bhojpuri,53000000
English,380000000
French,74000000
German,76000000
Gujarati,58000000
Hausa,54000000
Hindi,345000000
Italian,64000000
Japanese,123000000
Javanese,68000000
Korean,81000000
Mandarin Chinese,941000000
Marathi,83000000
Persian,62000000
Portuguese,236000000
Punjabi,82000000
Russian,148000000
Southern Min,51000000
Spanish,486000000
Tamil,79000000
Telugu,83000000
Turkish,84000000
Urdu,70000000
Vietnamese,85000000
Wu Chinese,83000000
Yue Chinese,86000000
