Language,First-language,Second-language,Total-speakers,Native-speakers
Amharic,35000000,25000000,60000000,129000000
Arabic,129000000,359000000,489000000,129000000
Bengali,237000000,41000000,278000000,237000000
Bhojpuri,53000000,1000000,53000000,53000000
English,380000000,1135000000,1515000000,380000000
French,74000000,238000000,312000000,74000000
German,76000000,58000000,134000000,76000000
Gujarati,58000000,5000000,63000000,58000000
Hausa,54000000,34000000,88000000,54000000
Hindi,345000000,264000000,609000000,345000000
Indonesian,44000000,155000000,199000000,
Italian,64000000,3000000,67000000,64000000
Japanese,123000000,1000000,123000000,123000000
Javanese,—,—,68000000,68000000
Kannada,44000000,15000000,59000000,
Korean,81000000,1000000,81000000,81000000
Mandarin,941000000,199000000,1140000000,941000000
Marathi,83000000,16000000,99000000,83000000
Min Nan Chinese,51000000,1000000,51000000,
Nigerian Pidgin,5000000,116000000,121000000,
Persian,62000000,17000000,78000000,62000000
Portuguese,236000000,27000000,264000000,236000000
Punjabi,—,—,82000000,82000000
Russian,148000000,108000000,255000000,148000000
Spanish,486000000,74000000,560000000,486000000
Swahili,3000000,83000000,87000000,
Tagalog,29000000,54000000,83000000,
Tamil,79000000,8000000,87000000,79000000
Telugu,83000000,13000000,96000000,83000000
Thai,21000000,40000000,61000000,
Turkish,84000000,6000000,90000000,84000000
Urdu,70000000,168000000,238000000,70000000
Vietnamese,85000000,1000000,86000000,85000000
