Country,Officiallanguage,Count,lat,lon
Burundi,"	Kirundi",1,-20,-135
Ethiopia,Afar,1,-20,-135
Albania,Albanian,1,-20,-135
Kosovo,Albanian,1,-20,-135
North Macedonia,Albanian,1,-20,-135
Ethiopia,Amharic,1,-20,-135
Algeria,Arabic,1,-20,-135
Bahrain,Arabic,1,-20,-135
Chad,Arabic,1,-20,-135
Egypt,Arabic,1,-20,-135
Iraq,Arabic,1,-20,-135
Jordan,Arabic,1,-20,-135
Lebanon,Arabic,1,-20,-135
Libya,Arabic,1,-20,-135
Mauritania,Arabic,1,-20,-135
Morocco,Arabic,1,-20,-135
Oman,Arabic,1,-20,-135
Palestine,Arabic,1,-20,-135
Qatar,Arabic,1,-20,-135
Sahrawi Arab Democratic Republic,Arabic,1,-20,-135
Saudi Arabia,Arabic,1,-20,-135
Somalia,Arabic,1,-20,-135
Somaliland,Arabic,1,-20,-135
Sudan,Arabic,1,-20,-135
Syria,Arabic,1,-20,-135
Tunisia,Arabic,1,-20,-135
United Arab Emirates,Arabic,1,-20,-135
Yemen,Arabic,1,-20,-135
Bolivia,Araona,1,-20,-135
Armenia,Armenian,1,-20,-135
Bolivia,Aymara,1,-20,-135
Azerbaijan,Azerbaijani,1,-20,-135
Mali,Bambara,1,-20,-135
Bolivia,Baure,1,-20,-135
Bangladesh,Bengali,1,-20,-135
Algeria,Berber,1,-20,-135
Bolivia,Bésiro,1,-20,-135
Mali,Bobo,1,-20,-135
Bosnia,Bosnian,1,-20,-135
Herzegovina,Bosnian,1,-20,-135
Mali,Bozo,1,-20,-135
Bulgaria,Bulgarian,1,-20,-135
Myanmar(Burma),Burmese,1,-20,-135
Bolivia,Canichana,1,-20,-135
Bolivia,Castilian,1,-20,-135
Andorra,Catalan,1,-20,-135
Bolivia,Cavineña,1,-20,-135
Bolivia,Cayubaba,1,-20,-135
Thailand,Central Thai,1,-20,-135
Bolivia,Chácobo,1,-20,-135
Bolivia,Chimán,1,-20,-135
Comoros,Comorian,1,-20,-135
Bosnia,Croatian,1,-20,-135
Croatia,Croatian,1,-20,-135
Herzegovina,Croatian,1,-20,-135
Czech Republic,Czech,1,-20,-135
Denmark,Danish,1,-20,-135
Maldives,Dhivehi,1,-20,-135
Mali,Dogon,1,-20,-135
Belgium,Dutch,1,-20,-135
Netherlands,Dutch,1,-20,-135
Suriname,Dutch,1,-20,-135
Bhutan,Dzongkha,1,-20,-135
Antigua and Barbuda,English,1,-20,-135
Australia,English,1,-20,-135
Bahamas,English,1,-20,-135
Barbados,English,1,-20,-135
Belize,English,1,-20,-135
Botswana,English,1,-20,-135
Canada,English,1,-20,-135
Christmas Island,English,1,-20,-135
Cocos (Keeling) Islands,English,1,-20,-135
Cook Islands,English,1,-20,-135
Dominica,English,1,-20,-135
Eswatini,English,1,-20,-135
Federated States of Micronesia,English,1,-20,-135
Fiji,English,1,-20,-135
Gambia,English,1,-20,-135
Ghana,English,1,-20,-135
Grenada,English,1,-20,-135
Guyana,English,1,-20,-135
Ireland,English,1,-20,-135
Jamaica,English,1,-20,-135
Kenya,English,1,-20,-135
Kiribati,English,1,-20,-135
Lesotho,English,1,-20,-135
Liberia,English,1,-20,-135
Malawi,English,1,-20,-135
Malta,English,1,-20,-135
Marshall Islands,English,1,-20,-135
Mauritius,English,1,-20,-135
Namibia,English,1,-20,-135
Nauru,English,1,-20,-135
New Zealand,English,1,-20,-135
Nigeria,English,1,-20,-135
Niue,English,1,-20,-135
Norfolk Island,English,1,-20,-135
Palau,English,1,-20,-135
Papua New Guinea,English,1,-20,-135
Philippines,English,1,-20,-135
Saint Kitts and Nevis,English,1,-20,-135
Saint Lucia,English,1,-20,-135
Saint Vincent and the Grenadines,English,1,-20,-135
Samoa,English,1,-20,-135
Seychelles,English,1,-20,-135
Sierra Leone,English,1,-20,-135
Singapore,English,1,-20,-135
Solomon Islands,English,1,-20,-135
South Africa,English,1,-20,-135
South Sudan,English,1,-20,-135
United Republic of Tanzania,English,1,-20,-135
Tokelau,English,1,-20,-135
Tonga,English,1,-20,-135
Trinidad and Tobago,English,1,-20,-135
Tuvalu,English,1,-20,-135
Uganda,English,1,-20,-135
United Kingdom,English,1,-20,-135
United States of America,English,1,-20,-135
Vanuatu,English,1,-20,-135
Zambia,English,1,-20,-135
Zimbabwe,English,1,-20,-135
Bolivia,Ese Ejja,1,-20,-135
Estonia,Estonian,1,-20,-135
Finland,Finnish,1,-20,-135
Benin,French,1,-20,-135
Burkina Faso,French,1,-20,-135
Cameroon,French,1,-20,-135
Central African Republic,French,1,-20,-135
Democratic Republic of the Congo,French,1,-20,-135
Djibouti,French,1,-20,-135
France,French,1,-20,-135
Gabon,French,1,-20,-135
Guinea,French,1,-20,-135
Haiti,French,1,-20,-135
Ivory Coast,French,1,-20,-135
Madagascar,French,1,-20,-135
Monaco,French,1,-20,-135
Niger,French,1,-20,-135
Republic of the Congo,French,1,-20,-135
Rwanda,French,1,-20,-135
Senegal,French,1,-20,-135
Togo,French,1,-20,-135
Mali,Fula,1,-20,-135
Georgia,Georgian,1,-20,-135
Austria,German,1,-20,-135
Germany,German,1,-20,-135
Liechtenstein,German,1,-20,-135
Switzerland,German ,1,-20,-135
Greece,Greek,1,-20,-135
Bolivia,Guaraní,1,-20,-135
Bolivia,Guarasu'we,1,-20,-135
Bolivia,Guarayu,1,-20,-135
Mali,Hassaniya,1,-20,-135
Israel,Hebrew,1,-20,-135
