Language,First-language (million),Second-language  (million),Total speakers,,,,,,,,,
English,3.80E+08,1.14E+09,1.52E+09,,,,,,,,,
Mandarin Chinese,9.41E+08,1.99E+08,1.14E+09,,,,,,,,,
Hindi,3.45E+08,2.64E+08,6.09E+08,,,,,,,,,
Spanish,4.86E+08,7.40E+07,5.60E+08,,,,,,,,,
Arabic,1.29E+08,3.59E+08,4.89E+08,,,,,,,,,
French,7.40E+07,2.38E+08,3.12E+08,,,,,,,,,
Bengali,2.37E+08,4.10E+07,2.78E+08,,,,,,,,,
Portuguese,2.36E+08,2.70E+07,2.64E+08,,,,,,,,,
Russian,1.48E+08,1.08E+08,2.55E+08,,,,,,,,,
Urdu,7.00E+07,1.68E+08,2.38E+08,,,,,,,,,
Indonesian,4.40E+07,1.55E+08,1.99E+08,,,,,,,,,
German,7.60E+07,5.80E+07,1.34E+08,,,,,,,,,
Japanese,1.23E+08,1.00E+06,1.23E+08,,,,,,,,,
Nigerian Pidgin,5.00E+06,1.16E+08,1.21E+08,,,,,,,,,
Marathi,8.30E+07,1.60E+07,9.90E+07,,,,,,,,,
Telugu,8.30E+07,1.30E+07,9.60E+07,,,,,,,,,
Turkish,8.40E+07,6.00E+06,9.00E+07,,,,,,,,,
Hausa,5.40E+07,3.40E+07,8.80E+07,,,,,,,,,
Swahili,3.00E+06,8.30E+07,8.70E+07,,,,,,,,,
Tamil,7.90E+07,8.00E+06,8.70E+07,,,,,,,,,
Yue Chinese,8.60E+07,1.00E+06,8.70E+07,,,,,,,,,
Vietnamese,8.50E+07,1.00E+06,8.60E+07,,,,,,,,,
Tagalog,2.90E+07,5.40E+07,8.30E+07,,,,,,,,,
Wu Chinese,8.30E+07,1.00E+06,8.30E+07,,,,,,,,,
Punjabi,—,—,8.20E+07,,,,,,,,,
Korean,8.10E+07,1.00E+06,8.10E+07,,,,,,,,,
Persian,6.20E+07,1.70E+07,7.80E+07,,,,,,,,,
Javanese,—,—,6.80E+07,,,,,,,,,
Italian,6.40E+07,3.00E+06,6.70E+07,,,,,,,,,
Gujarati,5.80E+07,5.00E+06,6.30E+07,,,,,,,,,
Thai,2.10E+07,4.00E+07,6.10E+07,,,,,,,,,
Amharic,3.50E+07,2.50E+07,6.00E+07,,,,,,,,,
Kannada,4.40E+07,1.50E+07,5.90E+07,,,,,,,,,
Bhojpuri,5.30E+07,1.00E+06,5.30E+07,,,,,,,,,
Min Nan Chinese,5.10E+07,1.00E+06,5.10E+07,,,,,,,,,
,,,,,,,,,,,,
